"Stimulus_Number","Filename"
1,"1001_IEO_NEU_XX"
2,"1001_IEO_HAP_LO"
3,"1001_IEO_HAP_MD"
4,"1001_IEO_HAP_HI"
5,"1001_IEO_SAD_LO"
6,"1001_IEO_SAD_MD"
7,"1001_IEO_SAD_HI"
8,"1001_IEO_ANG_LO"
9,"1001_IEO_ANG_MD"
10,"1001_IEO_ANG_HI"
11,"1001_IEO_FEA_LO"
12,"1001_IEO_FEA_MD"
13,"1001_IEO_FEA_HI"
14,"1001_IEO_DIS_LO"
15,"1001_IEO_DIS_MD"
16,"1001_IEO_DIS_HI"
17,"1001_TIE_NEU_XX"
18,"1001_TIE_HAP_XX"
19,"1001_TIE_SAD_XX"
20,"1001_TIE_ANG_XX"
21,"1001_TIE_FEA_XX"
22,"1001_TIE_DIS_XX"
23,"1001_IOM_NEU_XX"
24,"1001_IOM_HAP_XX"
25,"1001_IOM_SAD_XX"
26,"1001_IOM_ANG_XX"
27,"1001_IOM_FEA_XX"
28,"1001_IOM_DIS_XX"
29,"1001_IWW_NEU_XX"
30,"1001_IWW_HAP_XX"
31,"1001_IWW_SAD_XX"
32,"1001_IWW_ANG_XX"
33,"1001_IWW_FEA_XX"
34,"1001_IWW_DIS_XX"
35,"1001_TAI_NEU_XX"
36,"1001_TAI_HAP_XX"
37,"1001_TAI_SAD_XX"
38,"1001_TAI_ANG_XX"
39,"1001_TAI_FEA_XX"
40,"1001_TAI_DIS_XX"
41,"1001_MTI_NEU_XX"
42,"1001_MTI_HAP_XX"
43,"1001_MTI_SAD_XX"
44,"1001_MTI_ANG_XX"
45,"1001_MTI_FEA_XX"
46,"1001_MTI_DIS_XX"
47,"1001_IWL_NEU_XX"
48,"1001_IWL_HAP_XX"
49,"1001_IWL_SAD_XX"
50,"1001_IWL_ANG_XX"
51,"1001_IWL_FEA_XX"
52,"1001_IWL_DIS_XX"
53,"1001_ITH_NEU_XX"
54,"1001_ITH_HAP_XX"
55,"1001_ITH_SAD_XX"
56,"1001_ITH_ANG_XX"
57,"1001_ITH_FEA_XX"
58,"1001_ITH_DIS_XX"
59,"1001_DFA_NEU_XX"
60,"1001_DFA_HAP_XX"
61,"1001_DFA_SAD_XX"
62,"1001_DFA_ANG_XX"
63,"1001_DFA_FEA_XX"
64,"1001_DFA_DIS_XX"
65,"1001_ITS_NEU_XX"
66,"1001_ITS_HAP_XX"
67,"1001_ITS_SAD_XX"
68,"1001_ITS_ANG_XX"
69,"1001_ITS_FEA_XX"
70,"1001_ITS_DIS_XX"
71,"1001_TSI_NEU_XX"
72,"1001_TSI_HAP_XX"
73,"1001_TSI_SAD_XX"
74,"1001_TSI_ANG_XX"
75,"1001_TSI_FEA_XX"
76,"1001_TSI_DIS_XX"
77,"1001_WSI_NEU_XX"
78,"1001_WSI_HAP_XX"
79,"1001_WSI_SAD_XX"
80,"1001_WSI_ANG_XX"
81,"1001_WSI_FEA_XX"
82,"1001_WSI_DIS_XX"
83,"1002_IEO_NEU_XX"
84,"1002_IEO_HAP_LO"
85,"1002_IEO_HAP_MD"
86,"1002_IEO_HAP_HI"
87,"1002_IEO_SAD_LO"
88,"1002_IEO_SAD_MD"
89,"1002_IEO_SAD_HI"
90,"1002_IEO_ANG_LO"
91,"1002_IEO_ANG_MD"
92,"1002_IEO_ANG_HI"
93,"1002_IEO_FEA_LO"
94,"1002_IEO_FEA_MD"
95,"1002_IEO_FEA_HI"
96,"1002_IEO_DIS_LO"
97,"1002_IEO_DIS_MD"
98,"1002_IEO_DIS_HI"
99,"1002_TIE_HAP_XX"
100,"1002_TIE_SAD_XX"
101,"1002_TIE_ANG_XX"
102,"1002_TIE_FEA_XX"
103,"1002_TIE_DIS_XX"
104,"1002_IOM_NEU_XX"
105,"1002_IOM_HAP_XX"
106,"1002_IOM_SAD_XX"
107,"1002_IOM_ANG_XX"
108,"1002_IOM_FEA_XX"
109,"1002_IOM_DIS_XX"
110,"1002_IWW_NEU_XX"
111,"1002_IWW_HAP_XX"
112,"1002_IWW_SAD_XX"
113,"1002_IWW_ANG_XX"
114,"1002_IWW_FEA_XX"
115,"1002_IWW_DIS_XX"
116,"1002_TAI_NEU_XX"
117,"1002_TAI_HAP_XX"
118,"1002_TAI_SAD_XX"
119,"1002_TAI_ANG_XX"
120,"1002_TAI_FEA_XX"
121,"1002_TAI_DIS_XX"
122,"1002_MTI_NEU_XX"
123,"1002_MTI_HAP_XX"
124,"1002_MTI_SAD_XX"
125,"1002_MTI_ANG_XX"
126,"1002_MTI_FEA_XX"
127,"1002_MTI_DIS_XX"
128,"1002_IWL_NEU_XX"
129,"1002_IWL_HAP_XX"
130,"1002_IWL_SAD_XX"
131,"1002_IWL_ANG_XX"
132,"1002_IWL_FEA_XX"
133,"1002_IWL_DIS_XX"
134,"1002_ITH_NEU_XX"
135,"1002_ITH_HAP_XX"
136,"1002_ITH_SAD_XX"
137,"1002_ITH_ANG_XX"
138,"1002_ITH_FEA_XX"
139,"1002_ITH_DIS_XX"
140,"1002_DFA_NEU_XX"
141,"1002_DFA_HAP_XX"
142,"1002_DFA_SAD_XX"
143,"1002_DFA_ANG_XX"
144,"1002_DFA_FEA_XX"
145,"1002_DFA_DIS_XX"
146,"1002_ITS_NEU_XX"
147,"1002_ITS_HAP_XX"
148,"1002_ITS_SAD_XX"
149,"1002_ITS_ANG_XX"
150,"1002_ITS_FEA_XX"
151,"1002_ITS_DIS_XX"
152,"1002_TSI_NEU_XX"
153,"1002_TSI_HAP_XX"
154,"1002_TSI_SAD_XX"
155,"1002_TSI_ANG_XX"
156,"1002_TSI_FEA_XX"
157,"1002_TSI_DIS_XX"
158,"1002_WSI_NEU_XX"
159,"1002_WSI_HAP_XX"
160,"1002_WSI_SAD_XX"
161,"1002_WSI_ANG_XX"
162,"1002_WSI_FEA_XX"
163,"1002_WSI_DIS_XX"
164,"1003_IEO_NEU_XX"
165,"1003_IEO_HAP_LO"
166,"1003_IEO_HAP_MD"
167,"1003_IEO_HAP_HI"
168,"1003_IEO_SAD_LO"
169,"1003_IEO_SAD_MD"
170,"1003_IEO_SAD_HI"
171,"1003_IEO_ANG_LO"
172,"1003_IEO_ANG_MD"
173,"1003_IEO_ANG_HI"
174,"1003_IEO_FEA_LO"
175,"1003_IEO_FEA_MD"
176,"1003_IEO_FEA_HI"
177,"1003_IEO_DIS_LO"
178,"1003_IEO_DIS_MD"
179,"1003_IEO_DIS_HI"
180,"1003_TIE_NEU_XX"
181,"1003_TIE_HAP_XX"
182,"1003_TIE_SAD_XX"
