"","FileName","VoiceVote","VoiceLevel","FaceVote","FaceLevel","MultiModalVote","MultiModalLevel"
"1","1001_IEO_NEU_XX","N","69.1","N","92.22","N","64.78"
"2","1001_IEO_HAP_LO","N","71.67","H","57","H","57.38"
"3","1001_IEO_HAP_MD","N","67.71","H","62.62","H","56.56"
"4","1001_IEO_HAP_HI","H","63.5","H","68.25","H","73.2"
"5","1001_IEO_SAD_LO","N","73.71","N","73.5","N","74.8"
"6","1001_IEO_SAD_MD","N","42.12","N","82.44","N","72.33"
"7","1001_IEO_SAD_HI","N","60.14","A:F","30.67:51.00","N","63.5"
"8","1001_IEO_ANG_LO","N","59.57","D","52.6","N","78"
"9","1001_IEO_ANG_MD","A:D","37.2:58.6","A","45.5","A","44.2"
"10","1001_IEO_ANG_HI","D","67","A","65.56","A","63.25"
"11","1001_IEO_FEA_LO","N","73","F:N","66:50","N","65.4"
"12","1001_IEO_FEA_MD","F","65.8","F:N","58.25:65.50","F","49.5"
"13","1001_IEO_FEA_HI","D:F","81.33:63.67","F","70.33","A","67"
"14","1001_IEO_DIS_LO","N","59.57","D","65.12","D","53.8"
"15","1001_IEO_DIS_MD","N","72.75","D","75.17","D","62.25"
"16","1001_IEO_DIS_HI","A","59.5","A:D","68.75:52.25","D","57.17"
"17","1001_TIE_NEU_XX","N","77.8","N","54.75","N","77.6"
"18","1001_TIE_HAP_XX","N","64.33","H","80.25","H","63.75"
"19","1001_TIE_SAD_XX","N","66.25","N","57.67","N","78.56"
"20","1001_TIE_ANG_XX","A","54.8","A","51.4","A","52"
"21","1001_TIE_FEA_XX","A","36.86","A","58.8","F","52.56"
"22","1001_TIE_DIS_XX","D","45.75","D","64.4","D","69.33"
"23","1001_IOM_NEU_XX","N","68.5","N","79.12","N","78"
"24","1001_IOM_HAP_XX","N","52.83","H","66.56","H","63.25"
"25","1001_IOM_SAD_XX","N","45","N","60.5","N","76.8"
"26","1001_IOM_ANG_XX","N","66.57","N","54.83","F:N","64.75:61.50"
"27","1001_IOM_FEA_XX","A","67.2","A","67.8","A","55.5"
"28","1001_IOM_DIS_XX","N","66","D","53.2","A","55.6"
"29","1001_IWW_NEU_XX","N","64.75","N","64.43","N","79.14"
"30","1001_IWW_HAP_XX","N","61.33","H","82.09","H","46.43"
