"","A","D","F","H","N","S","fileName","numResponses","agreement","emoVote","meanEmoResp","meanAngerResp","meanDisgustResp","meanFearResp","meanHappyResp","meanNeutralResp","meanSadResp","medianEmoResp","meanEmoRespNorm","meanAngerRespNorm","meanDisgustRespNorm","meanFearRespNorm","meanHappyRespNorm","meanNeutralRespNorm","meanSadRespNorm","medianEmoRespNorm"
"100001",0,0,0,1,10,0,"1001_IEO_NEU_XX",11,0.909090909090909,"N",71.7272727272727,-1,-1,-1,98,69.1,-1,87,66.1713199530713,-1,-1,-1,97.8947368421053,62.9989782641679,-1,83.3333333333333
"100002",0,0,0,3,6,0,"1001_IEO_HAP_LO",9,0.666666666666667,"N",62,-1,-1,-1,42.6666666666667,71.6666666666667,-1,72,53.8161602678193,-1,-1,-1,36.292735042735,62.5778728803614,-1,53.8461538461539
"100003",0,0,0,4,7,0,"1001_IEO_HAP_MD",11,0.636363636363636,"N",63.6363636363636,-1,-1,-1,56.5,67.7142857142857,-1,60,61.874712936474,-1,-1,-1,55.1652298850575,65.7087032515691,-1,61.1111111111111
"100004",2,0,0,6,2,0,"1001_IEO_HAP_HI",10,0.6,"H",57.6,82.5,-1,-1,63.5,15,-1,69.5,52.9273089246813,84.4201850780798,-1,-1,56.5427080837364,10.5882352941176,-1,66.3081395348837
"100005",1,1,0,0,7,1,"1001_IEO_SAD_LO",10,0.7,"N",63.9,21,96,-1,-1,73.7142857142857,6,80,59.4867281993627,12.9411764705882,94.9367088607595,-1,-1,69.1234852374685,3.125,75.1820728291317
"100006",0,1,1,0,8,0,"1001_IEO_SAD_MD",10,0.8,"N",40.4,-1,62,5,-1,42.125,-1,45,35.3467894511312,-1,49.0566037735849,2.29885057471264,-1,37.7640550203768,-1,36.3339070567986
"100007",1,0,0,1,7,0,"1001_IEO_SAD_HI",9,0.777777777777778,"N",51.8888888888889,16,-1,-1,30,60.1428571428571,-1,61,46.297590934203,0,-1,-1,27.8350515463917,55.5490381230622,-1,50.6493506493507
"100008",0,1,0,2,7,0,"1001_IEO_ANG_LO",10,0.7,"N",52.7,-1,29,-1,40.5,59.5714285714286,-1,50,50.2121802259455,-1,27.0833333333333,-1,29.6296296296296,59.3970299524089,-1,47.803776683087
"100009",5,5,0,0,1,1,"1001_IEO_ANG_MD",12,0.416666666666667,"A:D",50.5833333333333,37.2,58.6,-1,-1,57,71,54.5,41.872206565809,30.1925235258569,50.6189540502666,-1,-1,51.1363636363636,47.2727272727273,40.3288740245262
"100010",2,6,0,0,1,0,"1001_IEO_ANG_HI",9,0.666666666666667,"D",73.4444444444444,79.5,67,-1,-1,100,-1,81,70.0720414899677,78.7064190289997,62.2059225586184,-1,-1,100,-1,77.4193548387097
"100011",0,0,2,3,4,1,"1001_IEO_FEA_LO",10,0.4,"N",58.7,-1,-1,55,56,73,17,69,53.7894321064298,-1,-1,54.5194508009153,50.3339074306816,68.5913312693498,3.48837209302326,60.3132161955691
"100012",0,3,5,0,3,0,"1001_IEO_FEA_MD",11,0.454545454545455,"F",57,-1,48,65.8,-1,51.3333333333333,-1,57,53.8666691664978,-1,36.9019327555913,65.9885371073936,-1,50.6282923425781,-1,52.8571428571429
